display money+stock,2022-05-21 23:30:48
category added,2022-05-22 06:58:21
category added,2022-05-22 07:03:39
category added,2022-05-22 07:05:34
category added,2022-05-22 07:05:58
category added,2022-05-22 07:06:16
category added,2022-05-22 07:08:17
category added,2022-05-22 07:20:54
add product,2022-05-22 07:21:49
distributor added,2022-05-22 07:22:34
get products from category,2022-05-22 07:22:41
add delivery,2022-05-22 07:22:57
display money+stock,2022-05-22 07:23:34
display money+stock,2022-05-22 07:24:01
efectueaza_tranzactie,2022-05-22 07:24:13
efectueaza_tranzactie,2022-05-22 07:24:26
display money+stock,2022-05-22 07:24:33
out of stock products,2022-05-22 07:24:38
display delivery history,2022-05-22 07:24:43
get products from category,2022-05-22 07:25:14
add delivery,2022-05-22 07:32:03
display money+stock,2022-05-22 07:32:17
add delivery,2022-05-22 07:32:49
add delivery,2022-05-22 07:37:22
add delivery,2022-05-22 07:40:10
display money+stock,2022-05-22 07:40:33
efectueaza_tranzactie,2022-05-22 07:40:49
display money+stock,2022-05-22 07:40:54
get products from category,2022-05-22 07:41:02
product details,2022-05-22 07:41:04
add product,2022-05-22 07:41:26
get products from category,2022-05-22 07:41:29
product details,2022-05-22 07:41:31
display delivery history,2022-05-22 08:39:30
display money+stock,2022-05-22 08:40:14
display delivery history,2022-05-22 08:40:20
add delivery,2022-05-22 08:40:46
get products from category,2022-05-22 08:40:56
product details,2022-05-22 08:40:59
display money+stock,2022-05-22 08:41:32
add product,2022-05-22 08:41:51
add delivery,2022-05-22 08:42:15
get products from category,2022-05-22 08:42:23
product details,2022-05-22 08:42:26
get products from category,2022-05-22 08:46:36
product details,2022-05-22 08:46:38
add product,2022-05-22 08:46:49
get products from category,2022-05-22 08:46:52
product details,2022-05-22 08:46:53
add product,2022-05-22 08:47:16
get products from category,2022-05-22 08:47:19
product details,2022-05-22 08:47:21
add delivery,2022-05-22 08:48:13
efectueaza_tranzactie,2022-05-22 08:48:25
display delivery history,2022-05-22 08:48:31
display delivery history,2022-05-22 08:49:16
efectueaza_tranzactie,2022-05-22 08:49:39
display money+stock,2022-05-22 08:49:45
display delivery history,2022-05-22 08:49:51
add delivery,2022-05-22 08:50:05
display delivery history,2022-05-22 08:50:07
display delivery history,2022-05-22 08:50:37
get products from category,2022-05-22 08:50:55
product details,2022-05-22 08:50:56
display delivery history,2022-05-22 08:50:59
display delivery history,2022-05-22 08:52:14
efectueaza_tranzactie,2022-05-22 08:53:38
display delivery history,2022-05-22 08:53:39
add delivery,2022-05-22 08:53:56
display delivery history,2022-05-22 08:53:59
add delivery,2022-05-22 08:54:25
display delivery history,2022-05-22 08:54:27
add delivery,2022-05-22 08:54:54
display delivery history,2022-05-22 08:54:58
add product,2022-05-22 08:56:37
display delivery history,2022-05-22 08:56:39
get products from category,2022-05-22 08:56:47
product details,2022-05-22 08:56:50
display delivery history,2022-05-22 09:05:48
add delivery,2022-05-22 09:06:07
display delivery history,2022-05-22 09:06:10
display delivery history,2022-05-22 09:13:12
add product,2022-05-22 09:14:41
get products from category,2022-05-22 09:14:45
product details,2022-05-22 09:14:48
category added,2022-05-22 09:22:58
add product,2022-05-22 09:24:01
add product,2022-05-22 09:24:29
distributor added,2022-05-22 09:26:25
add product,2022-05-22 09:26:39
add delivery,2022-05-22 09:27:13
get products from category,2022-05-22 09:27:25
display delivery history,2022-05-22 09:27:30
